Date,Item,Item_Link,Price,Seller,Seller_Link
1 day ago,Baby High Chair/Feeding Chair - Pink,https://sg.carousell.com/p/baby-high-chair-feeding-chair-pink-280818288,S$48,xgunsxrosesx,https://sg.carousell.com/xgunsxrosesx/
Spotlight,Rent Tables and Chairs Mini Pelamin Dais Rental Stage Backdrop Bench Velvet Cheap Deliver Setup Event Function Wedding Tunang Kahwin Engagement Solemnisation Solemnization Deco Decor Decoration Baby Shower Dessert Theme Industrial Display Celebration 01,https://sg.carousell.com/p/rent-tables-and-chairs-mini-pelamin-dais-rental-stage-backdrop-bench-velvet-cheap-deliver-setup-event-function-wedding-tunang-kahwin-engagement-solemnisation-solemnization-deco-decor-decoration-baby-shower-dessert-theme-industrial-display-celebration-01-262870460,S$200,sgtnc,https://sg.carousell.com/sgtnc/
Spotlight,[FREE DELIVERY] WODE DISINFECTANT SPRAY (250ML),https://sg.carousell.com/p/free-delivery-wode-disinfectant-spray-250ml-278540341,S$22.90,bicyclesloft.com,https://sg.carousell.com/bicyclesloft.com/
1 day ago,BLW mess free tray,https://sg.carousell.com/p/blw-mess-free-tray-280810096,S$40,joleneloke9,https://sg.carousell.com/joleneloke9/
1 day ago,"PRE ORDER Evenflo Symmetry Flat Fold Baby Feeding High Chair
Direct from USA",https://sg.carousell.com/p/pre-order-evenflo-symmetry-flat-fold-baby-feeding-high-chair-direct-from-usa-280794967,S$145,tinylittlefrenz,https://sg.carousell.com/tinylittlefrenz/
1 day ago,"PRE ORDER Evenflo Symmetry Flat Fold Baby Feeding High Chair
Direct from USA",https://sg.carousell.com/p/pre-order-evenflo-symmetry-flat-fold-baby-feeding-high-chair-direct-from-usa-280794253,S$145,tinylittlefrenz,https://sg.carousell.com/tinylittlefrenz/
2 days ago,"100ML, INSTANT SANITIZER SPRAY, KILLS 99.9% OF COMMON GERMS, INCLUDING BACTERIA, VIRUSES AND FUNGI. GENTLE TO SKIN, CAN BE USED AS HAND SANITIZER, HANDRUB, SURGICAL SPIRIT. BRAND: D'SAFE",https://sg.carousell.com/p/100ml-instant-sanitizer-spray-kills-99-9-of-common-germs-including-bacteria-viruses-and-fungi-gentle-to-skin-can-be-used-as-hand-sanitizer-handrub-surgical-spirit-brand-d-safe-280670050,S$8.90,life_warrior,https://sg.carousell.com/life_warrior/
2 days ago,Baby high chair tray mat,https://sg.carousell.com/p/baby-high-chair-tray-mat-280663608,S$15,felneo,https://sg.carousell.com/felneo/
2 days ago,BLUE BABY/INFANT ROCKER/SWINGS ROCKING CHAIR / BOUNCER,https://sg.carousell.com/p/blue-baby-infant-rocker-swings-rocking-chair-bouncer-280644492,S$40,funnyyr2000,https://sg.carousell.com/funnyyr2000/
Spotlight,Mattress & Sofa  Steam/DustMites Whatsapp - wa.me/6591667040,https://sg.carousell.com/p/mattress-sofa-steam-dustmites-whatsapp-wa-me-6591667040-143214945,S$85,freshen.ja,https://sg.carousell.com/freshen.ja/
2 days ago,Baby High Chair (Chicoo),https://sg.carousell.com/p/baby-high-chair-chicoo-280584163,S$99,meerait16,https://sg.carousell.com/meerait16/
3 days ago,Inflatable Baby Bumbo Floor Seat ★ Bath Chair ★ In-built Pump ★Baby mini sofa ★ Baby chair ★learn to sit ★ Baby travel chair with Music,https://sg.carousell.com/p/inflatable-baby-bumbo-floor-seat-★-bath-chair-★-in-built-pump-★baby-mini-sofa-★-baby-chair-★learn-to-sit-★-baby-travel-chair-with-music-280533071,S$22.90,jessica00,https://sg.carousell.com/jessica00/
3 days ago,Anti Bacterial Cleaning Wipes Sanitizer,https://sg.carousell.com/p/anti-bacterial-cleaning-wipes-sanitizer-276106440,S$12,oilthisway,https://sg.carousell.com/oilthisway/
3 days ago,New Baby Rocking Chair,https://sg.carousell.com/p/new-baby-rocking-chair-280506267,S$15,vevedidi,https://sg.carousell.com/vevedidi/
Spotlight,Professional Services!,https://sg.carousell.com/p/professional-services-272891252,S$0,mcaassolutions,https://sg.carousell.com/mcaassolutions/
3 days ago,Free Delivery Baby Rocker Rocking Chair,https://sg.carousell.com/p/free-delivery-baby-rocker-rocking-chair-280417175,S$60,baby.shop,https://sg.carousell.com/baby.shop/
